['2_All/85.jpg', 0.9604221635883905]
['2_All/88.jpg', 0.9604221635883905]
['2_All/292.jpg', 0.9604221635883905]
['2_All/382.jpg', 0.9604221635883905]
['2_All/71.jpg', 0.95778364116094983]
['2_All/103.jpg', 0.95778364116094983]
['2_All/128.jpg', 0.95778364116094983]
['2_All/146.jpg', 0.95778364116094983]
['2_All/354.jpg', 0.95778364116094983]
['2_All/473.jpg', 0.95778364116094983]
['2_All/474.jpg', 0.95778364116094983]
['2_All/43.jpg', 0.95514511873350927]
['2_All/104.jpg', 0.95514511873350927]
['2_All/156.jpg', 0.95514511873350927]
['2_All/196.jpg', 0.95514511873350927]
['2_All/210.jpg', 0.95514511873350927]
['2_All/267.jpg', 0.95514511873350927]
['2_All/287.jpg', 0.95514511873350927]
['2_All/319.jpg', 0.95514511873350927]
['2_All/414.jpg', 0.95514511873350927]
['2_All/441.jpg', 0.95514511873350927]
['2_All/455.jpg', 0.95514511873350927]
['2_All/4.jpg', 0.9525065963060686]
['2_All/110.jpg', 0.9525065963060686]
['2_All/131.jpg', 0.9525065963060686]
['2_All/147.jpg', 0.9525065963060686]
['2_All/150.jpg', 0.9525065963060686]
['2_All/208.jpg', 0.9525065963060686]
['2_All/213.jpg', 0.9525065963060686]
['2_All/227.jpg', 0.9525065963060686]
['2_All/228.jpg', 0.9525065963060686]
['2_All/296.jpg', 0.9525065963060686]
['2_All/391.jpg', 0.9525065963060686]
['2_All/462.jpg', 0.9525065963060686]
['2_All/471.jpg', 0.9525065963060686]
['2_All/19.jpg', 0.94986807387862793]
['2_All/50.jpg', 0.94986807387862793]
['2_All/91.jpg', 0.94986807387862793]
['2_All/205.jpg', 0.94986807387862793]
['2_All/478.jpg', 0.94986807387862793]
['2_All/35.jpg', 0.94722955145118737]
['2_All/96.jpg', 0.94722955145118737]
['2_All/140.jpg', 0.94722955145118737]
['2_All/177.jpg', 0.94722955145118737]
['2_All/235.jpg', 0.94722955145118737]
['2_All/304.jpg', 0.94722955145118737]
['2_All/316.jpg', 0.94722955145118737]
['2_All/394.jpg', 0.94722955145118737]
['2_All/457.jpg', 0.94722955145118737]
['2_All/499.jpg', 0.94722955145118737]
['2_All/107.jpg', 0.9445910290237467]
['2_All/109.jpg', 0.9445910290237467]
['2_All/188.jpg', 0.9445910290237467]
['2_All/225.jpg', 0.9445910290237467]
['2_All/328.jpg', 0.9445910290237467]
['2_All/469.jpg', 0.9445910290237467]
['2_All/6.jpg', 0.94195250659630603]
['2_All/78.jpg', 0.94195250659630603]
['2_All/221.jpg', 0.94195250659630603]
['2_All/460.jpg', 0.94195250659630603]
['2_All/5.jpg', 0.93931398416886547]
['2_All/7.jpg', 0.93931398416886547]
['2_All/130.jpg', 0.93931398416886547]
['2_All/191.jpg', 0.93931398416886547]
